ID;Date;OrderID;ItemID;Item name; Item price ;ItemCount;OrderReceivedTime;ActualPickupTime;ActualDeliveryTime;PromisedTime;DeliveryZip
1;06/01/20;100;2000;Makizushi; 15,99 ;2;06/01/20 09:00:00;06/01/20 09:30:00;06/01/20 10:15:00;06/01/20 10:00:00;94121
2;06/01/20;100;2001;Miso Soup; 18,99 ;1;06/01/20 09:00:00;06/01/20 09:30:00;06/01/20 10:15:00;06/01/20 10:00:00;94121
3;06/01/20;101;2002;Yakitori; 21,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
4;06/01/20;101;2003;Tempura; 19,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
5;06/01/20;101;2004;Ramen; 15,99 ;2;06/01/20 09:12:00;06/01/20 09:45:00;06/01/20 09:55:00;06/01/20 10:00:00;94120
6;06/01/20;102;2005;Sashimi; 15,99 ;1;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
7;06/01/20;102;2006;Oden; 15,99 ;3;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
8;06/01/20;102;2007;Soba; 25,99 ;2;06/01/20 09:18:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94107
9;06/01/20;103;2008;Nato; 18,99 ;4;06/01/20 09:19:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94146
10;06/01/20;103;2009;Udon; 15,99 ;2;06/01/20 09:19:00;06/01/20 09:45:00;06/01/20 10:00:00;06/01/20 10:00:00;94146
11;06/01/20;104;2010;Kaiseki; 17,99 ;5;06/01/20 09:23:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94145
12;06/01/20;105;2011;Sukiyaki; 21,99 ;1;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
13;06/01/20;105;2012;Curry Rice; 20,99 ;2;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
14;06/01/20;105;2005;Sashimi; 15,99 ;2;06/01/20 09:25:00;06/01/20 10:00:00;06/01/20 10:20:00;06/01/20 10:15:00;94146
15;06/01/20;106;2002;Yakitori; 21,99 ;1;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
16;06/01/20;106;2006;Oden; 15,99 ;3;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
17;06/01/20;106;2001;Miso Soup; 18,99 ;1;06/01/20 09:32:00;06/01/20 10:15:00;06/01/20 10:45:00;06/01/20 10:30:00;94143
